"Datetime","Food/Ingredient","Fibre","Enzymes","Challenge"
"21/11/2016 22:57:05","gluten free munchy muesli cookies","false","false","false"
"21/11/2016 22:55:36","do","false","false","false"
"21/11/2016 21:25:06","gluten free double choc biscuits","false","false","false"
"21/11/2016 18:12:21","chewing gum","false","false","false"
"21/11/2016 16:03:16","parmesan cheese","true","false","false"
"21/11/2016 16:03:00","tasty cheese","true","false","false"
"21/11/2016 16:02:33","eggplant","true","false","false"
"21/11/2016 16:02:24","cherry tomatoes","true","false","false"
"21/11/2016 16:02:12","tuna","true","false","false"
"21/11/2016 16:01:59","gluten free pizza base","true","false","false"
"21/11/2016 15:12:18","gluten free munchy muesli cookies","false","false","false"
"21/11/2016 14:35:43","gluten free mary's gone crackers original crackers","false","false","false"
"21/11/2016 12:50:44","dark chocolate","false","false","false"
"21/11/2016 12:10:37","gluten free munchy muesli cookies","false","false","false"
"21/11/2016 11:44:39","banana","false","false","false"
"21/11/2016 11:25:38","gluten free mary's gone crackers original crackers","false","false","false"
"21/11/2016 11:06:37","green tea","false","false","false"
"21/11/2016 09:39:53","dark chocolate","false","false","false"
"21/11/2016 07:49:03","baby spinach","false","false","false"
"21/11/2016 07:48:56","tasty cheese","false","false","false"
"21/11/2016 07:48:46","grass fed beef","false","false","false"
"20/11/2016 18:51:32","dark chocolate","false","false","false"
"20/11/2016 18:42:05","gluten free brown rice chips","false","false","false"
"20/11/2016 18:30:11","parmesan cheese","true","false","false"
"20/11/2016 18:30:05","tasty cheese","true","false","false"
"20/11/2016 18:29:58","olive oil","true","false","false"
"20/11/2016 18:29:54","baby spinach","true","false","false"
"20/11/2016 18:29:49","cherry tomatoes","true","false","false"
"20/11/2016 18:29:44","tuna","true","false","false"
"20/11/2016 18:29:39","eggplant","true","false","false"
"20/11/2016 18:29:33","gluten free pizza base","true","false","false"
"20/11/2016 15:06:23","gluten free double choc biscuits","false","false","false"
"20/11/2016 13:32:51","dark chocolate","false","false","false"
"20/11/2016 13:29:01","gluten free munchy muesli cookies","false","false","false"
"20/11/2016 12:12:50","gluten free munchy muesli cookies","false","false","false"
"20/11/2016 12:04:22","gluten free brown rice chips","false","false","false"
"20/11/2016 12:00:24","gluten free double choc biscuits","false","false","false"
"20/11/2016 10:33:10","peppermint tea","false","false","false"
"20/11/2016 10:33:05","dark chocolate","false","false","false"
"20/11/2016 09:58:53","peppermint tea","false","false","false"
"20/11/2016 09:58:40","dark chocolate","false","false","false"
"20/11/2016 08:50:59","feta","false","false","false"
"20/11/2016 08:50:46","eggs","false","false","false"
"20/11/2016 08:50:35","gluten free bread with soy","false","false","false"
"20/11/2016 08:50:22","baby spinach","false","false","false"
"20/11/2016 08:50:11","tasty cheese","false","false","false"
"19/11/2016 19:15:40","dark chocolate","false","false","false"
"19/11/2016 18:27:15","parmesan cheese","false","false","false"
"19/11/2016 18:27:07","baby spinach","false","false","false"
"19/11/2016 18:26:56","tasty cheese","false","false","false"
"19/11/2016 18:26:49","cherry tomatoes","false","false","false"
"19/11/2016 18:26:42","eggplant","false","false","false"
"19/11/2016 18:26:31","tuna","false","false","false"
"19/11/2016 18:26:22","gluten free pizza base","false","false","false"
"19/11/2016 16:48:32","gluten free munchy muesli cookies","false","false","false"
"19/11/2016 15:03:59","gluten free double choc biscuits","false","false","false"
"19/11/2016 13:17:55","peppermint tea","false","false","false"
"19/11/2016 12:51:18","dark chocolate","false","false","false"
"19/11/2016 12:38:43","crunchy peanut butter","true","false","false"
"19/11/2016 12:38:35","gluten free bread with soy","true","false","false"
"19/11/2016 12:04:00","gluten free double choc biscuits","false","false","false"
"19/11/2016 09:30:01","dark chocolate","false","false","false"
"19/11/2016 08:38:40","parmesan cheese","true","false","false"
"19/11/2016 08:38:31","tasty cheese","true","false","false"
"19/11/2016 08:38:23","snow peas","true","false","true"
"19/11/2016 08:38:17","eggs","true","false","false"
"19/11/2016 08:38:07","gluten free bread with soy","true","false","false"
"18/11/2016 19:20:56","dark chocolate","false","false","false"
"18/11/2016 18:44:52","parmesan cheese","true","false","false"
"18/11/2016 18:44:48","baby spinach","true","false","false"
"18/11/2016 18:44:43","eggplant","true","false","false"
"18/11/2016 18:44:38","cherry tomatoes","true","false","false"
"18/11/2016 18:44:32","tuna","true","false","false"
"18/11/2016 18:44:24","gluten free pizza base","true","false","false"
"18/11/2016 17:58:31","gluten free munchy muesli cookies","false","false","false"
"18/11/2016 17:57:49","manchego cheese","false","false","false"
"18/11/2016 13:54:52","gluten free munchy muesli cookies","false","false","false"
"18/11/2016 12:15:37","dark chocolate","false","false","false"
"18/11/2016 11:27:21","gluten free rice crackers","false","false","false"
"18/11/2016 10:34:53","gluten free mary's gone crackers original crackers","false","false","false"
"18/11/2016 10:18:25","green tea","false","false","false"
"18/11/2016 10:09:54","banana","false","false","false"
"18/11/2016 10:02:43","gluten free rice crackers","false","false","false"
"18/11/2016 08:03:17","snow peas","false","false","true"
"17/11/2016 21:12:06","dark chocolate","false","false","false"
"17/11/2016 19:42:30","baby spinach","true","false","false"
"17/11/2016 19:42:24","tasty cheese","true","false","false"
"17/11/2016 19:42:15","cherry tomatoes","true","false","false"
"17/11/2016 19:42:09","eggplant","true","false","false"
"17/11/2016 19:42:02","tuna","true","false","false"
"17/11/2016 19:41:55","gluten free pizza base","true","false","false"
"17/11/2016 19:23:48","gluten free double choc biscuits","false","false","false"
"17/11/2016 17:32:58","gluten free mary's gone crackers original crackers","false","false","false"
"17/11/2016 12:38:00","gluten free mary's gone crackers original crackers","false","false","false"
"17/11/2016 12:35:05","banana","false","false","false"
"17/11/2016 11:04:00","dark chocolate","false","false","false"
"17/11/2016 10:04:08","green tea","false","false","false"
"17/11/2016 07:27:59","honey","false","false","true"
"17/11/2016 07:25:02","gluten free bread with soy","true","false","false"
"17/11/2016 07:24:57","parmesan cheese","true","false","false"
"17/11/2016 07:24:48","tasty cheese","true","false","false"
"17/11/2016 07:24:04","baby spinach","true","false","false"
"17/11/2016 07:23:59","eggs","true","false","false"
"16/11/2016 19:31:52","golden ale","false","false","false"
"16/11/2016 18:23:56","gluten free double choc biscuits","false","false","false"
"16/11/2016 17:32:08","chewing gum","false","false","false"
"16/11/2016 17:23:59","cherry tomatoes","true","false","false"
"16/11/2016 17:23:53","baby spinach","true","false","false"
"16/11/2016 17:23:46","eggplant","true","false","false"
"16/11/2016 17:23:40","cherry tomatoes","true","false","false"
"16/11/2016 17:23:34","tuna","true","false","false"
"16/11/2016 17:23:24","gluten free pizza base","true","false","false"
"16/11/2016 15:59:39","dark chocolate","false","false","false"
"16/11/2016 15:54:48","green tea","false","false","false"
"16/11/2016 15:52:27","gluten free mary's gone crackers original crackers","false","false","false"
"16/11/2016 13:38:30","green tea","false","false","false"
"16/11/2016 12:41:34","gluten free mary's gone crackers original crackers","false","false","false"
"16/11/2016 12:03:00","dark chocolate","false","false","false"
"16/11/2016 11:51:02","gluten free rice crackers","false","false","false"
"16/11/2016 11:28:59","blackberries","false","false","true"
"16/11/2016 10:14:16","green tea","false","false","false"
"16/11/2016 10:03:07","gluten free double choc biscuits","false","false","false"
"16/11/2016 08:00:23","baby spinach","false","false","false"
"16/11/2016 08:00:14","tasty cheese","false","false","false"
"16/11/2016 07:59:57","grass fed beef","false","false","false"
"16/11/2016 07:41:20","honey","false","false","true"
"15/11/2016 20:25:14","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed","false","false","false"
"15/11/2016 18:54:00","gluten free double choc biscuits","false","false","false"
"15/11/2016 18:30:53","gluten free double choc biscuits","false","false","false"
"15/11/2016 18:21:15","baby spinach","true","false","false"
"15/11/2016 18:21:07","parmesan cheese","true","false","false"
"15/11/2016 18:20:59","tasty cheese","true","false","false"
"15/11/2016 18:20:53","eggplant","true","false","false"
"15/11/2016 18:20:47","cherry tomatoes","true","false","false"
"15/11/2016 18:20:41","tuna","true","false","false"
"15/11/2016 18:20:32","gluten free pizza base","true","false","false"
"15/11/2016 17:07:07","gluten free double choc biscuits","false","false","false"
"15/11/2016 14:38:42","gluten free rice crackers","false","false","false"
"15/11/2016 12:59:06","dark chocolate","false","false","false"
"15/11/2016 12:51:26","gluten free munchy muesli cookies","false","false","false"
"15/11/2016 12:32:59","dark chocolate","false","false","false"
"15/11/2016 11:45:19","dark chocolate","false","false","false"
"15/11/2016 11:36:25","gluten free quinoa cups","false","false","false"
"15/11/2016 11:27:19","banana","false","false","false"
"15/11/2016 10:56:56","green tea","false","false","false"
"15/11/2016 10:23:01","dark chocolate","false","false","false"
"15/11/2016 10:21:41","green tea","false","false","false"
"15/11/2016 10:19:12","gluten free munchy muesli cookies","false","false","false"
"15/11/2016 08:34:46","honey","true","false","false"
"15/11/2016 08:02:38","baby spinach","true","false","false"
"15/11/2016 08:02:29","feta","true","false","false"
"15/11/2016 08:02:20","tasty cheese","true","false","false"
"15/11/2016 08:02:12","gluten free bread with soy","true","false","false"
"15/11/2016 08:02:04","eggs","true","false","false"
"14/11/2016 21:28:39","blackberries","false","false","true"
"14/11/2016 17:18:20","parmesan cheese","true","false","false"
"14/11/2016 17:18:14","tasty cheese","true","false","false"
"14/11/2016 17:18:10","cherry tomatoes","true","false","false"
"14/11/2016 17:18:04","eggplant","true","false","false"
"14/11/2016 17:17:59","tuna","true","false","false"
"14/11/2016 17:17:54","gluten free pizza base","true","false","false"
"14/11/2016 15:07:07","dark chocolate","false","false","false"
"14/11/2016 13:37:36","gluten free rice crackers","false","false","false"
"14/11/2016 13:13:10","gluten free munchy muesli cookies","false","false","false"
"14/11/2016 12:07:01","blackberries","false","false","true"
"14/11/2016 12:05:10","green tea","false","false","false"
"14/11/2016 11:27:57","banana","false","false","false"
"14/11/2016 11:01:12","dark chocolate","false","false","false"
"14/11/2016 09:38:33","green tea","false","false","false"
"14/11/2016 09:38:26","gluten free munchy muesli cookies","false","false","false"
"14/11/2016 07:24:13","feta","true","false","false"
"14/11/2016 07:17:07","baby spinach","true","false","false"
"14/11/2016 07:16:59","tasty cheese","true","false","false"
"14/11/2016 07:16:41","gluten free bread with soy","true","false","false"
"13/11/2016 19:04:18","blackberries","false","false","true"
"13/11/2016 18:59:27","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed","false","false","false"
"13/11/2016 18:51:36","eggplant","true","false","false"
"13/11/2016 18:51:30","parmesan cheese","true","false","false"
"13/11/2016 18:51:20","baby spinach","true","false","false"
"13/11/2016 18:51:14","tasty cheese","true","false","false"
"13/11/2016 18:51:08","cherry tomatoes","true","false","false"
"13/11/2016 18:51:02","tuna","true","false","false"
"13/11/2016 18:50:55","gluten free pizza base","true","false","false"
"13/11/2016 17:02:04","dark chocolate","false","false","false"
"13/11/2016 15:53:14","gluten free double choc biscuits","false","false","false"
"13/11/2016 12:24:52","gluten free double choc biscuits","false","false","false"
"13/11/2016 11:53:02","blackberries","false","false","true"
"13/11/2016 10:50:13","dark chocolate","false","false","false"
"13/11/2016 10:46:16","gluten free brown rice chips","false","false","false"
"13/11/2016 10:15:56","peppermint tea","false","false","false"
"13/11/2016 09:52:05","gluten free brown rice chips","false","false","false"
"13/11/2016 09:52:00","gluten free double choc biscuits","false","false","false"
"13/11/2016 08:51:31","butter","false","false","false"
"13/11/2016 08:51:22","tomato","false","false","false"
"13/11/2016 08:51:17","eggs","false","false","false"
"13/11/2016 08:48:31","gluten free bread","false","false","false"
"13/11/2016 08:21:03","peppermint tea","false","false","false"
"13/11/2016 08:02:52","cherry tomatoes","false","false","false"
"13/11/2016 04:49:27","gluten free double choc biscuits","false","false","false"
"12/11/2016 18:31:34","dark chocolate","false","false","false"
"12/11/2016 18:27:10","peppermint tea","false","false","false"
"12/11/2016 18:11:42","eggplant","false","false","false"
"12/11/2016 18:11:22","parmesan cheese","false","false","false"
"12/11/2016 18:11:17","tasty cheese","false","false","false"
"12/11/2016 18:11:12","cherry tomatoes","false","false","false"
"12/11/2016 18:10:49","baby spinach","false","false","false"
"12/11/2016 18:10:41","tuna","false","false","false"
"12/11/2016 18:10:23","gluten free pizza base","false","false","false"
"12/11/2016 15:16:54","gluten free double choc biscuits","false","false","false"
"12/11/2016 14:08:33","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed","false","false","false"
"12/11/2016 13:59:08","low fat milk","false","false","false"
"12/11/2016 13:53:29","gluten free brown rice chips","false","false","false"
"12/11/2016 11:35:59","gluten free double choc biscuits","false","false","false"
"12/11/2016 10:58:25","gluten free double choc biscuits","false","false","false"
"12/11/2016 09:47:12","peppermint tea","false","false","false"
"12/11/2016 08:38:06","low fat milk","true","false","true"
"12/11/2016 04:58:09","dark chocolate","false","false","false"
"12/11/2016 04:48:21","gluten free melting moments","false","false","false"
"12/11/2016 04:46:12","tasty cheese","false","false","false"
"12/11/2016 04:46:05","baby spinach","false","false","false"
"12/11/2016 04:45:50","grass fed beef","false","false","false"
"11/11/2016 20:42:16","gluten free brown rice chips","false","false","false"
"11/11/2016 19:45:27","gluten free melting moments","false","false","false"
"11/11/2016 18:05:32","dark chocolate","false","false","false"
"11/11/2016 16:28:33","gluten free brown rice chips","false","false","false"
"11/11/2016 13:50:32","gluten free rice crackers","false","false","false"
"11/11/2016 13:20:31","gluten free rice crackers","false","false","false"
"11/11/2016 12:57:51","dark chocolate","false","false","false"
"11/11/2016 12:04:58","green tea","false","false","false"
"11/11/2016 11:53:16","dark chocolate","false","false","false"
"11/11/2016 11:22:38","low fat milk","false","false","true"
"11/11/2016 10:40:09","banana","false","false","false"
"11/11/2016 09:35:34","parmesan cheese","false","false","false"
"11/11/2016 09:35:28","tasty cheese","false","false","false"
"11/11/2016 09:35:22","baby spinach","false","false","false"
"11/11/2016 09:35:17","cherry tomatoes","false","false","false"
"11/11/2016 09:35:13","eggplant","false","false","false"
"11/11/2016 09:35:08","tuna","false","false","false"
"11/11/2016 09:34:59","gluten free pizza base","false","false","false"
"11/11/2016 08:36:41","gluten free melting moments","true","false","false"
"10/11/2016 18:24:25","gluten free melting moments","false","false","false"
"10/11/2016 18:05:38","cherry tomatoes","true","false","false"
"10/11/2016 18:05:32","eggplant","true","false","false"
"10/11/2016 18:05:27","baby spinach","true","false","false"
"10/11/2016 18:05:20","parmesan cheese","true","false","false"
"10/11/2016 18:05:13","tasty cheese","true","false","false"
"10/11/2016 18:05:06","tuna","true","false","false"
"10/11/2016 18:04:58","gluten free pizza base","true","false","false"
"10/11/2016 15:42:01","peppermint tea","false","false","false"
"10/11/2016 15:41:56","caramel slice","false","false","false"
"10/11/2016 15:07:03","gluten free melting moments","false","false","false"
"10/11/2016 14:26:13","low fat milk","false","false","true"
"10/11/2016 12:03:23","dark chocolate","true","false","false"
"10/11/2016 11:52:56","jelly bean","false","false","false"
"10/11/2016 11:34:56","gluten free quinoa cups","false","false","false"
"10/11/2016 11:07:27","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed","false","false","false"
"10/11/2016 09:58:24","dark chocolate","false","false","false"
"10/11/2016 09:57:12","baby spinach","true","false","false"
"10/11/2016 09:56:59","feta","true","false","false"
"10/11/2016 09:56:51","tasty cheese","true","false","false"
"10/11/2016 09:56:43","gluten free bread with soy","true","false","false"
"10/11/2016 09:56:25","eggs","true","false","false"
"9/11/2016 21:29:16","gluten free munchy muesli cookies","false","false","false"
"9/11/2016 21:23:07","dark chocolate","false","false","false"
"9/11/2016 18:06:27","chewing gum","false","false","false"
"9/11/2016 18:04:02","parmesan cheese","false","false","false"
"9/11/2016 18:03:56","tasty cheese","false","false","false"
"9/11/2016 18:03:48","baby spinach","false","false","false"
"9/11/2016 18:03:42","cherry tomatoes","false","false","false"
"9/11/2016 18:03:37","tuna","false","false","false"
"9/11/2016 18:03:30","gluten free pizza base","false","false","false"
"9/11/2016 14:14:55","dark chocolate","false","false","false"
"9/11/2016 13:35:06","gluten free rice crackers","false","false","false"
"9/11/2016 12:59:35","dark chocolate","true","false","false"
"9/11/2016 12:54:23","gluten free rice crackers","false","false","false"
"9/11/2016 12:03:36","green tea","false","false","false"
"9/11/2016 11:53:59","honey","false","false","true"
"9/11/2016 10:59:54","green tea","false","false","false"
"9/11/2016 10:20:40","banana","false","false","false"
"9/11/2016 08:19:22","caramel slice","true","false","false"
"9/11/2016 08:19:06","feta","true","false","false"
"9/11/2016 08:18:56","tasty cheese","true","false","false"
"9/11/2016 08:18:49","gluten free bread with soy","true","false","false"
"9/11/2016 08:18:44","baby spinach","true","false","false"
"9/11/2016 08:18:37","eggs","true","false","false"
"8/11/2016 19:48:42","caramel slice","false","false","false"
"8/11/2016 19:28:04","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed","false","false","false"
"8/11/2016 19:18:19","olive oil","false","false","false"
"8/11/2016 19:18:13","parmesan cheese","false","false","false"
"8/11/2016 19:18:08","cherry tomatoes","false","false","false"
"8/11/2016 19:17:57","tasty cheese","false","false","false"
"8/11/2016 19:17:52","baby spinach","false","false","false"
"8/11/2016 19:17:48","eggplant","false","false","false"
"8/11/2016 19:17:43","tuna","false","false","false"
"8/11/2016 19:17:37","gluten free pizza base","false","false","false"
"8/11/2016 15:38:07","dark chocolate","false","false","false"
"8/11/2016 13:30:40","green tea","false","false","false"
"8/11/2016 13:22:44","gluten free munchy muesli cookies","false","false","false"
"8/11/2016 12:30:08","dark chocolate","false","false","false"
"8/11/2016 11:35:59","dark chocolate","false","false","false"
"8/11/2016 11:00:43","gluten free brown rice chips","false","false","false"
"8/11/2016 10:57:23","green tea","false","false","false"
"8/11/2016 10:42:16","banana","false","false","false"
"8/11/2016 07:58:28","parmesan cheese","true","false","false"
"8/11/2016 07:58:19","baby spinach","true","false","false"
"8/11/2016 07:58:13","tasty cheese","true","false","false"
"8/11/2016 07:58:06","gluten free bread with soy","true","false","false"
"8/11/2016 07:57:59","eggs","true","false","false"
"7/11/2016 22:11:32","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed","false","false","false"
"7/11/2016 21:40:24","gluten free brown rice chips","false","false","false"
